Sequencing Run	Viral genome	Viral name	Virus genome length	Paired read count	Covered bases
SRR23971424	OM451195.1	MAG:_Hedgehog_dicipivirus_2_isolate_HeN-F3_polyprotein_P2/P3_gene,_complete_cds	8598	1	43
SRR23971424	NC_001344.1	Duck_hepatitis_B_virus,_complete_genome	3027	9	346
SRR23971424	NC_015396.1	Avian_gyrovirus_2,_complete_genome	2383	1	43
SRR23971424	NC_002577.1	Gallid_herpesvirus_3,_complete_genome	164270	1	43
SRR23971424	NC_024446.1	Penguinpox_virus_isolate_PSan92,_complete_genome	306862	2	86
SRR23971424	OM451162.1	MAG:_Hedgehog_chapparvovirus_6_isolate_HeN-F2_genomic_sequence	4461	4	170
SRR23971424	NC_004442.1	Canine_minute_virus,_complete_genome	5097	9	339
SRR23971424	OM451208.1	MAG:_Murine_orthopneumovirus_isolate_ZJ-MO3_non-structural_protein_1,_non-structural_protein_2,_nucleocapsid_protein,_phosphoprotein,_matrix_protein,_attachment_glycoprotein,_fusion_protein,_M2-1,_M2-2,_and_polymerase_subunit_genes,_complete_cds	14948	1	43
SRR23971488	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	1	43
SRR23971488	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	122	2345
SRR23971488	NC_030133.1	Duck_faeces_associated_circular_DNA_virus_2_isolate_4_Fec60467_duck,_complete_sequence	1845	1	43
SRR23971488	OM451183.1	MAG:_Civet_kobuvirus_isolate_SC-F3_polyprotein_gene,_complete_cds	8146	1	43
SRR23971488	NC_001539.1	Canine_parvovirus,_complete_genome	5323	212	3421
SRR23971488	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	5	205
SRR23971488	NC_034266.1	Columbid_alphaherpesvirus_1_strain_HLJ,_complete_genome	204237	2	43
SRR23971488	NC_003027.1	Lumpy_skin_disease_virus_NI-2490,_complete_genome	150773	1	43
SRR23971488	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	3	129
SRR23971488	NC_015396.1	Avian_gyrovirus_2,_complete_genome	2383	3	129
SRR23971488	NC_024446.1	Penguinpox_virus_isolate_PSan92,_complete_genome	306862	2	86
SRR23971488	OM451162.1	MAG:_Hedgehog_chapparvovirus_6_isolate_HeN-F2_genomic_sequence	4461	1	43
SRR23971488	NC_027708.1	Skunk_adenovirus_PB1,_complete_genome	31848	3	124
SRR23971488	NC_040604.1	Rodent_papillomavirus_isolate_RtRn-PV/GD2014,_complete_genome	7373	3	86
SRR23971415	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	4	129
SRR23971415	NC_001427.1	Chicken_anemia_virus,_complete_genome	2319	1	43
SRR23971415	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	3	109
SRR23971415	NC_038922.1	Avian_sarcoma_virus_CT10_genomic_sequence	2428	2	86
SRR23971547	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	1	93
SRR23971547	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	9	1248
SRR23971547	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	1	93
SRR23971547	NC_005889.1	Bovine_adeno-associated_virus,_complete_genome	4693	1	93
SRR23971547	NC_014969.1	Fowl_adenovirus_E,_complete_genome	44055	2	279
SRR23971547	NC_001539.1	Canine_parvovirus,_complete_genome	5323	46	2712
SRR23971547	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	9	212
SRR23971547	NC_001344.1	Duck_hepatitis_B_virus,_complete_genome	3027	3	320
SRR23971547	NC_015396.1	Avian_gyrovirus_2,_complete_genome	2383	1	93
SRR23971547	NC_028238.1	Turkeypox_virus_strain_TKPV-HU1124/2011,_complete_genome	188534	2	264
SRR23971547	NC_024446.1	Penguinpox_virus_isolate_PSan92,_complete_genome	306862	5	627
SRR23971547	NC_004442.1	Canine_minute_virus,_complete_genome	5097	1	93
SRR23971444	NC_034971.1	Canine_kobuvirus_isolate_SMCD-59,_complete_genome	8216	20	896
SRR23971444	OM451182.1	MAG:_Canine_kobuvirus_isolate_JX-MO1_polyprotein_gene,_complete_cds	8315	16	801
SRR23971444	OM451183.1	MAG:_Civet_kobuvirus_isolate_SC-F3_polyprotein_gene,_complete_cds	8146	24	871
SRR23971444	OM451185.1	MAG:_Marmot_kobuvirus_isolate_JS-TNA1_polyprotein_gene,_complete_cds	8193	7151	7590
SRR23971444	NC_001539.1	Canine_parvovirus,_complete_genome	5323	1	105
SRR23971444	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	269	4092
SRR23971444	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	5	536
SRR23971444	OM451039.1	MAG:_Rotavirus_C_isolate_SD-MO3_VP2_gene,_partial_cds	2592	17	581
SRR23971549	NC_027708.1	Skunk_adenovirus_PB1,_complete_genome	31848	1	93
SRR23971545	NC_011765.1	European_hedgehog_papillomavirus,_complete_genome	8256	43	1156
SRR23971545	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	1	43
SRR23971545	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	1	43
SRR23971545	NC_003225.3	White_spot_syndrome_virus_strain_CN01,_complete_genome	309286	5	215
SRR23971545	OM451141.1	MAG:_Hedgehog_bocavirus_isolate_HeN-F1_nonstructural_protein_1,_NP1,_and_structural_protein_3_genes,_complete_cds	5373	197	1458
SRR23971545	NC_005889.1	Bovine_adeno-associated_virus,_complete_genome	4693	60	1214
SRR23971545	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	1	43
SRR23971545	NC_001539.1	Canine_parvovirus,_complete_genome	5323	165	1352
SRR23971545	NC_002654.2	Helicoverpa_armigera_nucleopolyhedrovirus_G4,_complete_genome	131405	64	2588
SRR23971545	NC_038538.1	Porcine_bocavirus_H18,_partial_genome	5267	2	43
SRR23971545	OM451162.1	MAG:_Hedgehog_chapparvovirus_6_isolate_HeN-F2_genomic_sequence	4461	3	86
SRR23971545	NC_027708.1	Skunk_adenovirus_PB1,_complete_genome	31848	104	3770
SRR23971545	NC_006148.1	Snake_parvovirus_1,_complete_genome	4432	2	86
SRR23971538	NC_034971.1	Canine_kobuvirus_isolate_SMCD-59,_complete_genome	8216	2	86
SRR23971538	NC_004800.1	Goose_hemorrhagic_polyomavirus,_complete_genome	5256	1	43
SRR23971538	NC_040533.1	Lupine_bocavirus_isolate_South_Douro,_complete_genome	5228	1	43
SRR23971538	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	13	473
SRR23971538	NC_001543.1	Rabbit_hemorrhagic_disease_virus-FRG,_complete_genome	7437	1	43
SRR23971538	NC_001427.1	Chicken_anemia_virus,_complete_genome	2319	3	129
SRR23971538	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	3	101
SRR23971538	NC_001539.1	Canine_parvovirus,_complete_genome	5323	9172	4433
SRR23971538	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	9	255
SRR23971538	NC_038922.1	Avian_sarcoma_virus_CT10_genomic_sequence	2428	3	129
SRR23971538	NC_015396.1	Avian_gyrovirus_2,_complete_genome	2383	17	594
SRR23971538	NC_024446.1	Penguinpox_virus_isolate_PSan92,_complete_genome	306862	5	172
SRR23971538	OM451208.1	MAG:_Murine_orthopneumovirus_isolate_ZJ-MO3_non-structural_protein_1,_non-structural_protein_2,_nucleocapsid_protein,_phosphoprotein,_matrix_protein,_attachment_glycoprotein,_fusion_protein,_M2-1,_M2-2,_and_polymerase_subunit_genes,_complete_cds	14948	16	631
SRR23971538	NC_027708.1	Skunk_adenovirus_PB1,_complete_genome	31848	1	43
SRR23971538	NC_006148.1	Snake_parvovirus_1,_complete_genome	4432	18	573
SRR23971465	NC_034971.1	Canine_kobuvirus_isolate_SMCD-59,_complete_genome	8216	1	43
SRR23971465	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	16	603
SRR23971465	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	4	172
SRR23971465	OM451182.1	MAG:_Canine_kobuvirus_isolate_JX-MO1_polyprotein_gene,_complete_cds	8315	2	86
SRR23971465	OM451141.1	MAG:_Hedgehog_bocavirus_isolate_HeN-F1_nonstructural_protein_1,_NP1,_and_structural_protein_3_genes,_complete_cds	5373	1	43
SRR23971465	NC_005889.1	Bovine_adeno-associated_virus,_complete_genome	4693	2	86
SRR23971465	NC_014969.1	Fowl_adenovirus_E,_complete_genome	44055	1	43
SRR23971465	NC_001618.1	UR2_sarcoma_virus,_complete_genome	3166	10	201
SRR23971465	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	14	396
SRR23971465	NC_001539.1	Canine_parvovirus,_complete_genome	5323	204	3449
SRR23971465	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	2	86
SRR23971465	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	1	43
SRR23971465	NC_038922.1	Avian_sarcoma_virus_CT10_genomic_sequence	2428	4	140
SRR23971465	NC_002577.1	Gallid_herpesvirus_3,_complete_genome	164270	1	43
SRR23971465	NC_024446.1	Penguinpox_virus_isolate_PSan92,_complete_genome	306862	2	86
SRR23971465	OM451162.1	MAG:_Hedgehog_chapparvovirus_6_isolate_HeN-F2_genomic_sequence	4461	1	43
SRR23971465	OM451208.1	MAG:_Murine_orthopneumovirus_isolate_ZJ-MO3_non-structural_protein_1,_non-structural_protein_2,_nucleocapsid_protein,_phosphoprotein,_matrix_protein,_attachment_glycoprotein,_fusion_protein,_M2-1,_M2-2,_and_polymerase_subunit_genes,_complete_cds	14948	6	258
SRR23971465	NC_001866.1	Avian_myelocytomatosis_virus,_complete_genome	3392	5	177
SRR23971447	OM451185.1	MAG:_Marmot_kobuvirus_isolate_JS-TNA1_polyprotein_gene,_complete_cds	8193	9	419
SRR23971447	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	10	740
SRR23971447	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	2	186
SRR23971447	NC_017083.1	Rabbit_coronavirus_HKU14,_complete_genome	31100	39	1813
SRR23971413	NC_011765.1	European_hedgehog_papillomavirus,_complete_genome	8256	2	43
SRR23971413	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	54	2076
SRR23971413	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	2	86
SRR23971413	NC_003225.3	White_spot_syndrome_virus_strain_CN01,_complete_genome	309286	2	86
SRR23971413	NC_022789.1	Gyrovirus_Tu789,_complete_genome	2282	1	43
SRR23971413	NC_014969.1	Fowl_adenovirus_E,_complete_genome	44055	24	1029
SRR23971413	NC_001457.1	Human_papillomavirus_type_4,_complete_genome	7353	42	1445
SRR23971413	NC_001427.1	Chicken_anemia_virus,_complete_genome	2319	9	300
SRR23971413	AC_000013.1	Fowl_adenovirus_D,_complete_genome	45063	5	214
SRR23971413	NC_001618.1	UR2_sarcoma_virus,_complete_genome	3166	24	675
SRR23971413	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	15	471
SRR23971413	NC_001539.1	Canine_parvovirus,_complete_genome	5323	135	2891
SRR23971413	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	5	210
SRR23971413	NC_034266.1	Columbid_alphaherpesvirus_1_strain_HLJ,_complete_genome	204237	7	258
SRR23971413	NC_001344.1	Duck_hepatitis_B_virus,_complete_genome	3027	1	43
SRR23971413	NC_038922.1	Avian_sarcoma_virus_CT10_genomic_sequence	2428	23	477
SRR23971413	NC_015396.1	Avian_gyrovirus_2,_complete_genome	2383	4	172
SRR23971413	NC_028238.1	Turkeypox_virus_strain_TKPV-HU1124/2011,_complete_genome	188534	2	86
SRR23971413	NC_002577.1	Gallid_herpesvirus_3,_complete_genome	164270	31	1238
SRR23971413	NC_004442.1	Canine_minute_virus,_complete_genome	5097	3	86
SRR23971413	NC_027708.1	Skunk_adenovirus_PB1,_complete_genome	31848	1	43
SRR23971413	NC_001866.1	Avian_myelocytomatosis_virus,_complete_genome	3392	27	670
SRR23971568	NC_003225.3	White_spot_syndrome_virus_strain_CN01,_complete_genome	309286	30	1245
SRR23971568	NC_001539.1	Canine_parvovirus,_complete_genome	5323	2	83
SRR23971568	NC_024446.1	Penguinpox_virus_isolate_PSan92,_complete_genome	306862	13	559
SRR23971568	NC_002188.1	Fowlpox_virus,_complete_genome	288539	1	43
SRR23971586	NC_032927.1	Hubei_tombus-like_virus_19_strain_WHCCII13323_hypothetical_protein_1,_hypothetical_protein_2,_hypothetical_protein_3,_and_hypothetical_protein_4_genes,_complete_cds	4917	8	555
SRR23971586	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	39	1988
SRR23971586	OM451116.1	MAG:_Civet_astrovirus_isolate_SC-F1_nonstructural_protein_gene,_partial_cds;_and_capsid_protein_precursor,_gene,_complete_cds	6845	1	92
SRR23971505	NC_032481.1	Beihai_mollusks_virus_2_strain_WZSLuoI86113_hypothetical_protein_1_and_hypothetical_protein_2_genes,_complete_cds	9054	1	128
SRR23971505	NC_033291.1	Wenling_crustacean_virus_14_strain_WLJQ104130_RNA-dependent_RNA_polymerase_gene,_complete_cds	6699	1	177
SRR23971505	NC_006383.2	Peste_des_petits_ruminants_virus_complete_genome	15948	2	279
SRR23971505	NC_045512.2	Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1,_complete_genome	29903	83	5993
SRR23971505	NC_001427.1	Chicken_anemia_virus,_complete_genome	2319	3	243
SRR23971505	NC_055165.1	Shrimp_hemocyte_iridescent_virus_isolate_20141215,_complete_genome	165809	3	423
SRR23971505	NC_001539.1	Canine_parvovirus,_complete_genome	5323	6	765
SRR23971505	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	63	4696
SRR23971505	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	4	517
SRR23971505	NC_022249.1	Feline_astrovirus_2_strain_1637F,_complete_genome	6795	9	834
SRR23971505	NC_033172.1	Wenzhou_gastropodes_virus_2_strain_WZSLuoI86086_hypothetical_protein_gene,_complete_cds	8926	5	469
SRR23971505	NC_032129.1	Beihai_mollusks_virus_1_strain_WZSLuoI86140_hypothetical_protein_1_and_hypothetical_protein_2_genes,_complete_cds	8805	33	3149
SRR23971505	NC_033156.1	Wenzhou_gastropodes_virus_1_strain_WZSLuoI86017_hypothetical_protein_1_and_hypothetical_protein_2_genes,_complete_cds	9309	24	2912
SRR23971505	NC_032852.1	Wenzhou_shrimp_virus_8_strain_shrimp14543_hypothetical_protein_gene,_complete_cds	10445	1	96
SRR23971449	NC_034971.1	Canine_kobuvirus_isolate_SMCD-59,_complete_genome	8216	138	2470
SRR23971449	OM451123.1	MAG:_Canine_coronavirus_isolate_HeB-G1,_complete_genome	29340	10	374
SRR23971449	NC_040533.1	Lupine_bocavirus_isolate_South_Douro,_complete_genome	5228	1	43
SRR23971449	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	72	1749
SRR23971449	NC_045512.2	Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1,_complete_genome	29903	1	43
SRR23971449	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	3	129
SRR23971449	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	4	172
SRR23971449	OM451182.1	MAG:_Canine_kobuvirus_isolate_JX-MO1_polyprotein_gene,_complete_cds	8315	81	1926
SRR23971449	OM451141.1	MAG:_Hedgehog_bocavirus_isolate_HeN-F1_nonstructural_protein_1,_NP1,_and_structural_protein_3_genes,_complete_cds	5373	4	172
SRR23971449	NC_022789.1	Gyrovirus_Tu789,_complete_genome	2282	3	43
SRR23971449	OM451213.1	MAG:_Erinaceus_hedgehog_coronavirus_HKU31_isolate_HeB-MO1_ORF1ab,_spike_protein,_hypothetical_protein,_envelop_protein,_membrane_protein,_and_nucleocapsid_protein_genes,_complete_cds	29920	1	43
SRR23971449	NC_005889.1	Bovine_adeno-associated_virus,_complete_genome	4693	1	43
SRR23971449	NC_001543.1	Rabbit_hemorrhagic_disease_virus-FRG,_complete_genome	7437	2	86
SRR23971449	NC_014969.1	Fowl_adenovirus_E,_complete_genome	44055	19	817
SRR23971449	NC_030133.1	Duck_faeces_associated_circular_DNA_virus_2_isolate_4_Fec60467_duck,_complete_sequence	1845	2	62
SRR23971449	NC_001427.1	Chicken_anemia_virus,_complete_genome	2319	12	411
SRR23971449	OM451183.1	MAG:_Civet_kobuvirus_isolate_SC-F3_polyprotein_gene,_complete_cds	8146	90	2116
SRR23971449	AC_000013.1	Fowl_adenovirus_D,_complete_genome	45063	1	43
SRR23971449	NC_001618.1	UR2_sarcoma_virus,_complete_genome	3166	3	97
SRR23971449	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	2	86
SRR23971449	OM451185.1	MAG:_Marmot_kobuvirus_isolate_JS-TNA1_polyprotein_gene,_complete_cds	8193	1313	6709
SRR23971449	NC_001539.1	Canine_parvovirus,_complete_genome	5323	62444	4387
SRR23971449	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	4	135
SRR23971449	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	305	9588
SRR23971449	NC_017083.1	Rabbit_coronavirus_HKU14,_complete_genome	31100	4	172
SRR23971449	OM451195.1	MAG:_Hedgehog_dicipivirus_2_isolate_HeN-F3_polyprotein_P2/P3_gene,_complete_cds	8598	1	43
SRR23971449	NC_001344.1	Duck_hepatitis_B_virus,_complete_genome	3027	8	273
SRR23971449	NC_038922.1	Avian_sarcoma_virus_CT10_genomic_sequence	2428	1	43
SRR23971449	NC_015396.1	Avian_gyrovirus_2,_complete_genome	2383	2	86
SRR23971449	OM451122.1	MAG:_Canine_coronavirus_isolate_SD-F3,_complete_genome	29309	2	86
SRR23971449	NC_022787.1	Porcine_torovirus_strain_SH1,_complete_genome	28301	4	170
SRR23971449	NC_004442.1	Canine_minute_virus,_complete_genome	5097	3	129
SRR23971449	NC_002306.3	Feline_infectious_peritonitis_virus,_complete_genome	29355	2	86
SRR23971449	OM451208.1	MAG:_Murine_orthopneumovirus_isolate_ZJ-MO3_non-structural_protein_1,_non-structural_protein_2,_nucleocapsid_protein,_phosphoprotein,_matrix_protein,_attachment_glycoprotein,_fusion_protein,_M2-1,_M2-2,_and_polymerase_subunit_genes,_complete_cds	14948	64	2064
SRR23971449	NC_001866.1	Avian_myelocytomatosis_virus,_complete_genome	3392	1	43
SRR23971449	NC_038861.1	Transmissible_gastroenteritis_virus_complete_genome,_genomic_RNA	28586	3	86
SRR23971494	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	1	43
SRR23971494	NC_003225.3	White_spot_syndrome_virus_strain_CN01,_complete_genome	309286	29	1201
SRR23971494	OM451141.1	MAG:_Hedgehog_bocavirus_isolate_HeN-F1_nonstructural_protein_1,_NP1,_and_structural_protein_3_genes,_complete_cds	5373	1	43
SRR23971494	NC_055165.1	Shrimp_hemocyte_iridescent_virus_isolate_20141215,_complete_genome	165809	2	86
SRR23971494	NC_001539.1	Canine_parvovirus,_complete_genome	5323	8	301
SRR23971494	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	4	153
SRR23971494	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	1	43
SRR23971494	NC_002188.1	Fowlpox_virus,_complete_genome	288539	1	43
SRR23971494	NC_026812.1	Chinook_salmon_bafinivirus_isolate_NIDO,_complete_genome	27004	2	86
SRR23971494	NC_004442.1	Canine_minute_virus,_complete_genome	5097	1	43
SRR23971494	NC_027708.1	Skunk_adenovirus_PB1,_complete_genome	31848	2	78
SRR23971494	NC_040604.1	Rodent_papillomavirus_isolate_RtRn-PV/GD2014,_complete_genome	7373	1	43
SRR23971454	NC_034971.1	Canine_kobuvirus_isolate_SMCD-59,_complete_genome	8216	3	86
SRR23971454	OM451123.1	MAG:_Canine_coronavirus_isolate_HeB-G1,_complete_genome	29340	4	129
SRR23971454	NC_045512.2	Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1,_complete_genome	29903	2	86
SRR23971454	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	1	43
SRR23971454	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	4	129
SRR23971454	OM451182.1	MAG:_Canine_kobuvirus_isolate_JX-MO1_polyprotein_gene,_complete_cds	8315	1	42
SRR23971454	NC_005889.1	Bovine_adeno-associated_virus,_complete_genome	4693	4	172
SRR23971454	OM451194.1	MAG:_Cadicivirus_B_isolate_HeN-F3_polyprotein_P1_and_polyprotein_P2/P3_genes,_complete_cds	8836	3	86
SRR23971454	NC_001618.1	UR2_sarcoma_virus,_complete_genome	3166	3	86
SRR23971454	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	1	43
SRR23971454	OM451185.1	MAG:_Marmot_kobuvirus_isolate_JS-TNA1_polyprotein_gene,_complete_cds	8193	10	387
SRR23971454	NC_001539.1	Canine_parvovirus,_complete_genome	5323	200	3285
SRR23971454	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	3	85
SRR23971454	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	6	210
SRR23971454	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	48	1621
SRR23971454	NC_017083.1	Rabbit_coronavirus_HKU14,_complete_genome	31100	13	430
SRR23971454	NC_001344.1	Duck_hepatitis_B_virus,_complete_genome	3027	3	86
